Compressor_Level:9 Granularity:1472  Compression_Ratio:105.03513
Compressor_Level:0 Granularity:1536  Compression_Ratio:0.99675
Compressor_Level:1 Granularity:1536  Compression_Ratio:78.69427
Compressor_Level:2 Granularity:1536  Compression_Ratio:78.69862
Compressor_Level:3 Granularity:1536  Compression_Ratio:90.25422
Compressor_Level:4 Granularity:1536  Compression_Ratio:109.59313
Compressor_Level:5 Granularity:1536  Compression_Ratio:109.59193
Compressor_Level:6 Granularity:1536  Compression_Ratio:109.59434
Compressor_Level:7 Granularity:1536  Compression_Ratio:109.59434
Compressor_Level:8 Granularity:1536  Compression_Ratio:109.59434
Compressor_Level:9 Granularity:1536  Compression_Ratio:109.59434
Compressor_Level:0 Granularity:1600  Compression_Ratio:0.99688
Compressor_Level:1 Granularity:1600  Compression_Ratio:79.92244
Compressor_Level:2 Granularity:1600  Compression_Ratio:79.92693
Compressor_Level:3 Granularity:1600  Compression_Ratio:84.12558
Compressor_Level:4 Granularity:1600  Compression_Ratio:106.55386
Compressor_Level:5 Granularity:1600  Compression_Ratio:106.55386
Compressor_Level:6 Granularity:1600  Compression_Ratio:106.55614
Compressor_Level:7 Granularity:1600  Compression_Ratio:106.55614
Compressor_Level:8 Granularity:1600  Compression_Ratio:106.55614
Compressor_Level:9 Granularity:1600  Compression_Ratio:106.55614
Compressor_Level:0 Granularity:1664  Compression_Ratio:0.99700
Compressor_Level:1 Granularity:1664  Compression_Ratio:83.11643
Compressor_Level:2 Granularity:1664  Compression_Ratio:83.12128
Compressor_Level:3 Granularity:1664  Compression_Ratio:85.24691
Compressor_Level:4 Granularity:1664  Compression_Ratio:110.81359
Compressor_Level:5 Granularity:1664  Compression_Ratio:110.81236
Compressor_Level:6 Granularity:1664  Compression_Ratio:110.81606
Compressor_Level:7 Granularity:1664  Compression_Ratio:110.81606
Compressor_Level:8 Granularity:1664  Compression_Ratio:110.81606
Compressor_Level:9 Granularity:1664  Compression_Ratio:110.81729
Compressor_Level:0 Granularity:1728  Compression_Ratio:0.99711
Compressor_Level:1 Granularity:1728  Compression_Ratio:86.30879
Compressor_Level:2 Granularity:1728  Compression_Ratio:86.31402
Compressor_Level:3 Granularity:1728  Compression_Ratio:86.31103
Compressor_Level:4 Granularity:1728  Compression_Ratio:115.06577
Compressor_Level:5 Granularity:1728  Compression_Ratio:115.06577
Compressor_Level:6 Granularity:1728  Compression_Ratio:115.06843
Compressor_Level:7 Granularity:1728  Compression_Ratio:115.06843
Compressor_Level:8 Granularity:1728  Compression_Ratio:115.06843
Compressor_Level:9 Granularity:1728  Compression_Ratio:115.06843
Compressor_Level:0 Granularity:1792  Compression_Ratio:0.99722
Compressor_Level:1 Granularity:1792  Compression_Ratio:77.83483
Compressor_Level:2 Granularity:1792  Compression_Ratio:77.83908
Compressor_Level:3 Granularity:1792  Compression_Ratio:77.83665
Compressor_Level:4 Granularity:1792  Compression_Ratio:99.45005
Compressor_Level:5 Granularity:1792  Compression_Ratio:99.44906
Compressor_Level:6 Granularity:1792  Compression_Ratio:99.45104
Compressor_Level:7 Granularity:1792  Compression_Ratio:99.45104
Compressor_Level:8 Granularity:1792  Compression_Ratio:99.45203
Compressor_Level:9 Granularity:1792  Compression_Ratio:111.86290
Compressor_Level:0 Granularity:1856  Compression_Ratio:0.99731
Compressor_Level:1 Granularity:1856  Compression_Ratio:72.71468
Compressor_Level:2 Granularity:1856  Compression_Ratio:72.71892
Compressor_Level:3 Granularity:1856  Compression_Ratio:72.71839
Compressor_Level:4 Granularity:1856  Compression_Ratio:102.98786
Compressor_Level:5 Granularity:1856  Compression_Ratio:102.98786
Compressor_Level:6 Granularity:1856  Compression_Ratio:102.99106
Compressor_Level:7 Granularity:1856  Compression_Ratio:102.99106
Compressor_Level:8 Granularity:1856  Compression_Ratio:102.99106
Compressor_Level:9 Granularity:1856  Compression_Ratio:102.99106
Compressor_Level:0 Granularity:1920  Compression_Ratio:0.99740
Compressor_Level:1 Granularity:1920  Compression_Ratio:73.77406
Compressor_Level:2 Granularity:1920  Compression_Ratio:73.77843
Compressor_Level:3 Granularity:1920  Compression_Ratio:73.77788
Compressor_Level:4 Granularity:1920  Compression_Ratio:100.93503
Compressor_Level:5 Granularity:1920  Compression_Ratio:100.93401
Compressor_Level:6 Granularity:1920  Compression_Ratio:100.93605
Compressor_Level:7 Granularity:1920  Compression_Ratio:100.93810
Compressor_Level:8 Granularity:1920  Compression_Ratio:100.93810
Compressor_Level:9 Granularity:1920  Compression_Ratio:106.53792
Compressor_Level:0 Granularity:1984  Compression_Ratio:0.99749
Compressor_Level:1 Granularity:1984  Compression_Ratio:77.72501
Compressor_Level:2 Granularity:1984  Compression_Ratio:77.72986
Compressor_Level:3 Granularity:1984  Compression_Ratio:86.16261
Compressor_Level:4 Granularity:1984  Compression_Ratio:104.29787
Compressor_Level:5 Granularity:1984  Compression_Ratio:104.29678
Compressor_Level:6 Granularity:1984  Compression_Ratio:104.29897
Compressor_Level:7 Granularity:1984  Compression_Ratio:104.29897
Compressor_Level:8 Granularity:1984  Compression_Ratio:104.30115
Compressor_Level:9 Granularity:1984  Compression_Ratio:110.08683
Compressor_Level:0 Granularity:2048  Compression_Ratio:0.99756
Compressor_Level:1 Granularity:2048  Compression_Ratio:75.77453
Compressor_Level:2 Granularity:2048  Compression_Ratio:75.78144
Compressor_Level:3 Granularity:2048  Compression_Ratio:73.07708
Compressor_Level:4 Granularity:2048  Compression_Ratio:102.28213
Compressor_Level:5 Granularity:2048  Compression_Ratio:102.28107
Compressor_Level:6 Granularity:2048  Compression_Ratio:102.28317
Compressor_Level:7 Granularity:2048  Compression_Ratio:102.28317
Compressor_Level:8 Granularity:2048  Compression_Ratio:102.28528
Compressor_Level:9 Granularity:2048  Compression_Ratio:113.63243
Compressor_Level:0 Granularity:2112  Compression_Ratio:0.99764
Compressor_Level:1 Granularity:2112  Compression_Ratio:75.35304
Compressor_Level:2 Granularity:2112  Compression_Ratio:75.35817
Compressor_Level:3 Granularity:2112  Compression_Ratio:75.35760
Compressor_Level:4 Granularity:2112  Compression_Ratio:105.47401
Compressor_Level:5 Granularity:2112  Compression_Ratio:105.47290
Compressor_Level:6 Granularity:2112  Compression_Ratio:105.47624
Compressor_Level:7 Granularity:2112  Compression_Ratio:105.47624
Compressor_Level:8 Granularity:2112  Compression_Ratio:105.47736
Compressor_Level:9 Granularity:2112  Compression_Ratio:105.47848
Compressor_Level:0 Granularity:2176  Compression_Ratio:0.99771
Compressor_Level:1 Granularity:2176  Compression_Ratio:72.46418
Compressor_Level:2 Granularity:2176  Compression_Ratio:70.13424
Compressor_Level:3 Granularity:2176  Compression_Ratio:70.13374
Compressor_Level:4 Granularity:2176  Compression_Ratio:103.49565
